Past draw results of lottery South Africa Daily Lotto of the year 2019 Year 2019 (from 2019)
Date	SERIES					
2019-07-08	13	04	31	20	08	
2019-07-07	02	06	13	25	09	
2019-07-06	24	02	16	11	12	
2019-07-05	27	02	24	33	20	
2019-07-04	01	05	03	35	18	
2019-07-03	24	09	07	01	26	
2019-07-02	13	14	08	28	35	
2019-07-01	13	33	02	26	10	
2019-06-30	27	04	17	10	21	
2019-06-29	05	27	15	01	09	
2019-06-28	09	10	21	08	36	
2019-06-27	06	31	04	25	36	
2019-06-26	26	33	15	36	32	
2019-06-25	18	01	04	03	16	
2019-06-24	04	19	30	07	23	
2019-06-23	15	07	14	24	23	
2019-06-22	25	35	33	11	02	
2019-06-21	27	26	14	07	35	
2019-06-20	28	19	23	33	26	
2019-06-19	30	08	17	04	18	
2019-06-18	03	25	10	12	32	
2019-06-17	17	09	08	20	28	
2019-06-16	08	33	20	29	14	
2019-06-15	28	33	15	21	13	
2019-06-14	32	01	02	18	04	
2019-06-13	34	27	03	18	19	
2019-06-12	33	20	34	17	06	
2019-06-11	13	04	30	14	18	
2019-06-10	22	25	07	35	28	
2019-06-09	34	32	35	13	22	
2019-06-08	28	36	18	05	31	
2019-06-07	06	15	24	28	23	
2019-06-06	36	15	17	35	30	
2019-06-05	20	06	28	36	09	
2019-06-04	16	35	33	29	22	
2019-06-03	06	03	22	10	23	
2019-06-02	24	03	25	18	16	
2019-06-01	26	14	12	34	19	
2019-05-31	35	25	02	04	36	
2019-05-30	11	23	05	06	30	
2019-05-29	19	28	20	32	33	
2019-05-28	13	15	14	09	25	
2019-05-27	05	17	21	19	02	
2019-05-26	15	30	09	27	16	
2019-05-25	06	10	34	21	31	
2019-05-24	31	11	20	02	09	
2019-05-23	01	17	36	29	16	
2019-05-22	25	14	15	11	06	
2019-05-21	26	34	02	12	28	
2019-05-20	22	28	31	25	11	
2019-05-19	12	33	21	01	34	
2019-05-18	21	33	31	07	15	
2019-05-17	26	20	10	29	15	
2019-05-16	34	18	33	14	05	
2019-05-15	07	06	32	17	13	
2019-05-14	06	20	22	04	25	
2019-05-13	08	16	28	24	32	
2019-05-12	36	33	06	01	17	
2019-05-11	36	07	06	28	11	
2019-05-10	19	05	09	26	31	
2019-05-09	19	34	13	18	08	
2019-05-08	06	22	21	07	15	
2019-05-07	22	25	03	11	12	
2019-05-06	29	32	25	16	14	
2019-05-05	29	34	05	32	26	
2019-05-04	26	17	11	15	25	
2019-05-03	08	35	24	27	05	
2019-05-02	16	14	24	08	05	
2019-05-01	04	33	29	02	06	
2019-04-30	05	28	25	20	03	
2019-04-29	05	15	36	16	25	
2019-04-28	18	26	30	34	32	
2019-04-27	21	29	18	28	13	
2019-04-26	33	28	23	01	34	
2019-04-25	28	19	04	14	33	
2019-04-24	19	24	12	18	08	
2019-04-23	02	35	36	11	08	
2019-04-22	20	09	16	21	30	
2019-04-21	09	29	07	02	01	
2019-04-20	36	03	24	30	06	
2019-04-19	19	03	05	15	24	
2019-04-18	10	22	12	14	20	
2019-04-17	32	27	08	34	23	
2019-04-16	17	02	27	07	24	
2019-04-15	19	05	28	33	04	
2019-04-14	03	26	24	17	23	
2019-04-13	30	05	34	33	18	
2019-04-12	04	08	19	36	34	
2019-04-11	01	29	14	19	07	
2019-04-10	24	05	10	15	29	
